iter	Passed	Remaining
349	46395	483836
350	46527	483701
351	46661	483581
352	46795	483465
353	46928	483335
354	47060	483196
355	47194	483081
356	47328	482962
357	47459	482810
358	47596	482730
359	47729	482593
360	47860	482446
361	47993	482319
362	48124	482177
363	48255	482021
364	48389	481904
365	48519	481748
366	48650	481602
367	48783	481467
368	48914	481324
369	49046	481184
370	49176	481028
371	49309	480897
372	49442	480775
373	49575	480639
374	49707	480507
375	49840	480380
376	49972	480240
377	50103	480089
378	50236	479961
379	50368	479823
380	50501	479696
381	50635	479575
382	50770	479465
383	50902	479334
384	51032	479174
385	51163	479032
386	51294	478883
387	51428	478762
388	51561	478634
389	51692	478484
390	51827	478372
391	51958	478232
392	52088	478075
393	52223	477967
394	52363	477895
395	52512	477916
396	52657	477892
397	52790	477764
398	52923	477639
399	53058	477527
400	53194	477425
401	53329	477315
402	53466	477218
403	53602	477113
404	53734	476979
405	53869	476868
406	54002	476737
407	54135	476607
408	54271	476504
409	54408	476406
410	54540	476271
411	54675	476152
412	54809	476033
413	54943	475911
414	55078	475801
415	55212	475679
416	55347	475559
417	55480	475430
418	55613	475298
419	55746	475173
420	55887	475106
421	56021	474984
422	56160	474906
423	56304	474872
424	56451	474859
425	56584	474728
426	56718	474600
427	56851	474472
428	56985	474344
429	57115	474193
430	57251	474088
431	57383	473945
432	57514	473801
433	57649	473685
434	57781	473544
435	57914	473412
436	58045	473267
437	58175	473109
438	58307	472964
439	58438	472819
440	58570	472678
441	58700	472528
442	58833	472392
443	58967	472269
444	59114	472249
445	59242	472077
446	59376	471954
447	59506	471802
448	59636	471649
449	59769	471516
450	59901	471377
451	60033	471238
452	60168	471117
453	60301	470987
454	60433	470850
455	60568	470736
456	60701	470603
457	60834	470473
458	60970	470366
459	61106	470256
460	61238	470117
461	61373	470001
462	61508	469884
463	61642	469759
464	61777	469641
465	61915	469544
466	62049	469423
467	62183	469297
468	62314	469155
469	62450	469042
470	62586	468932
471	62723	468831
472	62856	468702
473	62990	468573
474	63123	468440
475	63257	468319
476	63392	468200
477	63527	468084
478	63659	467946
479	63795	467835
480	63930	467714
481	64065	467600
482	64200	467477
483	64338	467382
484	64474	467272
485	64607	467140
486	64744	467037
487	64878	466913
488	65013	466791
489	65144	466649
490	65279	466531
491	65414	466412
492	65549	466294
493	65682	466159
494	65817	466043
495	65950	465909
496	66085	465786
497	66218	465658
498	66351	465525
499	66485	465400
500	66618	465264
501	66753	465147
502	66887	465017
503	67016	464861
504	67154	464759
505	67289	464640
506	67423	464514
507	67560	464412
508	67694	464286
509	67828	464157
510	67962	464030
511	68094	463896
512	68229	463771
513	68363	463649
514	68500	463540
515	68632	463404
516	68770	463303
517	68902	463161
518	69036	463037
519	69170	462912
520	69306	462796
521	69441	462678
522	69579	462576
523	69713	462453
524	69848	462333
525	69984	462216
526	70118	462089
527	70254	461973
528	70386	461833
529	70518	461695
530	70652	461568
531	70789	461461
532	70922	461330
533	71056	461204
534	71193	461096
535	71327	460964
536	71460	460836
537	71595	460712
538	71727	460575
539	71861	460447
540	71996	460324
541	72132	460208
542	72268	460095
543	72403	459973
544	72539	459862
545	72672	459724
546	72805	459594
547	72940	459471
548	73075	459348
549	73207	459208
550	73341	459081
551	73473	458942
552	73609	458826
553	73744	458705
554	73880	458594
555	74012	458453
556	74146	458322
557	74280	458197
558	74414	458068
559	74548	457943
560	74681	457808
561	74815	457676
562	74949	457549
563	75081	457413
564	75219	457307
565	75352	457172
566	75484	457035
567	75621	456925
568	75756	456803
569	75888	456663
